Time,Altitude,Latitude,Longitude,Pitch,Roll,Yaw,Pitch Rate,Roll Rate,Yaw Rate,Temperature,Humidity,Pressure
20:59:24.892586,,,,0.362642,354.761689,163.624545,2.34954427133e-10,2.29848802422e-07,1.06011745014e-07,24.987453,35.344921,0.000000
20:59:25.015542,,,,0.399624,354.706089,163.533020,0.300195565643,-0.45132425098,-0.74293978545,24.987453,35.167034,1006.920166
20:59:25.133999,,,,0.439815,354.665743,163.441796,0.339394011271,-0.340702913058,-0.770343591454,25.023212,34.533119,1006.910645
20:59:25.252359,,,,0.484676,354.599757,163.348769,0.378912346111,-0.557341790653,-0.78573992603,25.094730,34.516949,1006.900391
20:59:25.370669,,,,0.524383,354.550594,163.253665,0.335672478631,-0.415611002266,-0.803984068496,25.023212,31.353844,1006.883545
20:59:25.489314,,,,0.555090,354.514866,163.158821,0.25870711802,-0.301009148162,-0.799062686081,25.005333,34.656021,1006.864014
20:59:25.608404,,,,0.594265,354.488502,163.071518,0.329218286626,-0.221557393966,-0.73367566247,25.094730,30.302710,1006.853027
20:59:25.726921,,,,0.624170,354.451853,162.998954,0.252343588479,-0.309250632809,-0.612307646025,25.041092,34.594570,1006.839844
20:59:25.846378,,,,0.650259,354.407036,162.924436,0.218442343814,-0.375251275354,-0.623936777045,25.023212,34.319660,1006.824463
20:59:25.963956,,,,0.664039,354.362532,162.851094,0.117177856729,-0.37843855848,-0.623661710319,25.005333,34.494308,1006.806885
20:59:26.081717,,,,0.696206,354.323670,162.787669,0.273007057502,-0.32982871479,-0.538299270123,25.094730,34.093262,1006.789307
20:59:26.199509,,,,0.719982,354.292887,162.714449,0.201812789703,-0.261288825094,-0.621497832355,25.076851,34.319660,1006.775879
20:59:26.317262,,,,0.745181,354.267625,162.649767,0.214217343138,-0.214752907748,-0.549863335403,25.166248,34.494308,1006.769287
20:59:26.434785,,,,0.769700,354.232114,162.574744,0.208519480803,-0.301999889179,-0.638025898619,25.058971,34.319660,1006.760498
20:59:26.552916,,,,0.783698,354.212143,162.519966,0.118514781866,-0.169085491402,-0.463780734465,25.041092,35.377262,1006.763428
20:59:26.670716,,,,0.789652,354.177463,162.464724,0.0505321470666,-0.294332358124,-0.468843948312,25.076851,34.439327,1006.760010
20:59:26.788571,,,,0.814828,354.153721,162.402569,0.213674492612,-0.201503805354,-0.527523756288,25.094730,34.309956,1006.761963
20:59:26.906188,,,,0.832499,354.118129,162.357162,0.150234106996,-0.302593647003,-0.386038147041,25.130489,34.588104,1006.769287
20:59:27.023743,,,,0.850895,354.082706,162.309392,0.156493976976,-0.301341930116,-0.406377325512,25.094730,34.626915,1006.769775
20:59:27.141360,,,,0.854248,354.046214,162.262017,0.0285152664926,-0.310342709468,-0.402896137813,25.130489,34.591339,1006.774414
20:59:27.258887,,,,0.881255,354.006128,162.231254,0.229811704723,-0.341105342893,-0.261772780108,25.130489,35.299641,1006.781006
20:59:27.376370,,,,0.907521,353.973671,162.210764,0.223660108907,-0.276377680453,-0.174476343239,25.094730,34.455498,1006.781006
20:59:27.495102,,,,0.922804,353.945695,162.182842,0.128636343268,-0.235472769697,-0.235018254056,25.112610,33.782772,1006.790771
20:59:27.613162,,,,0.936565,353.932509,162.135877,0.116533614403,-0.111664285991,-0.397718276319,25.112610,33.866863,1006.797119
20:59:27.730832,,,,0.951197,353.914156,162.106808,0.124270641142,-0.155873365014,-0.246885133089,25.058971,34.568699,1006.796143
20:59:27.848748,,,,0.967042,353.905777,162.080894,0.134480153139,-0.0711144968857,-0.219938068063,25.148369,33.921844,1006.795166
20:59:27.966211,,,,0.978904,353.912812,162.049735,0.101014214373,0.059908531286,-0.265343273113,25.058971,34.756287,1006.792725
20:59:28.084123,,,,0.989528,353.888841,162.037550,0.0900416979622,-0.203161666213,-0.103271657536,25.041092,34.555759,1006.789795
20:59:28.201855,,,,1.010436,353.865591,162.009833,0.177648347751,-0.197547545686,-0.235502164464,25.219887,34.374641,1006.780273
20:59:28.319453,,,,1.022294,353.849777,161.989233,0.100783712904,-0.134406614594,-0.175083866235,25.184128,34.626915,1006.780029
20:59:28.437193,,,,1.033785,353.841002,161.969112,0.0976486705391,-0.074568539203,-0.170985023054,25.058971,34.468437,1006.778809
20:59:28.555058,,,,1.039599,353.826302,161.963606,0.0493192046371,-0.124697679423,-0.0467064913539,25.184128,34.335831,1006.781982
20:59:28.672777,,,,1.027044,353.820368,161.955465,-0.106662278171,-0.050412899934,-0.0691626926796,25.094730,34.060921,1006.787598
20:59:28.790552,,,,1.019459,353.806645,161.962964,-0.0643937484997,-0.116503020522,0.0636636413973,25.041092,34.138542,1006.792725
20:59:28.908232,,,,1.028363,353.800269,161.947036,0.0757097040545,-0.0542144062276,-0.135433980928,25.058971,34.694832,1006.800537
20:59:29.025897,,,,1.030971,353.795317,161.942624,0.0221508757728,-0.0420594849796,-0.0374730306402,25.148369,34.083557,1006.803467
20:59:29.145696,,,,1.036085,353.786960,161.935043,0.0427046082982,-0.0697853757425,-0.0633053647845,25.202007,33.789242,1006.804443
20:59:29.263258,,,,1.045294,353.787379,161.932994,0.0783218202862,0.00356356202598,-0.0174265837514,25.130489,34.238804,1006.811035
20:59:29.380879,,,,1.055666,353.778556,161.915945,0.0881388741534,-0.0749758278689,-0.144878486834,25.148369,34.297020,1006.809570
20:59:29.498903,,,,1.064386,353.781667,161.908774,0.0739295051939,0.0263755379199,-0.0607968442368,25.041092,34.309956,1006.815918
20:59:29.616839,,,,1.063786,353.776724,161.899990,-0.00508815760742,-0.0419179384227,-0.0744906273726,25.130489,35.584255,1006.817383
